housing,stator_yoke,stator_tooth,stator_coil_active,rotor_outer,rotor_inner,pm,shaft,loss,output_1_loss,output_2_loss,output_3_loss,output_1_mae,output_1_mae_pm,output_1_all_max_ae,output_1_pm_max_ae,final_epoch
1.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0001318729482591,0.0001318729482591,0.0263851154595613,0.0025240264367312,0.4718052446842193,0.4878238439559936,4.461485862731934,2.358895301818848,237.0
1.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0001341853640042,0.0001341853640042,0.0362883396446704,0.0192923340946435,0.4816872775554657,0.4202156960964203,8.977922439575195,1.8921141624450684,244.0
1.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0001826560765039,0.0001826560765039,0.023325590416789,0.0014541548443958,0.5999780893325806,0.6684945225715637,4.796741008758545,2.6972527503967285,236.0
1.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,6.567068339791149e-05,6.567068339791149e-05,0.03608063980937,0.0016692603239789,0.3636963069438934,0.3899980783462524,3.724678039550781,1.3793668746948242,216.0
1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0001806132349884,0.0001806132349884,0.0225445497781038,0.0008382738451473,0.5260971784591675,0.709295928478241,5.1997785568237305,5.1997785568237305,150.0
0.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.000154022098286,0.000154022098286,0.0530665330588817,0.0303519610315561,0.4780475795269012,0.8412971496582031,9.44051742553711,3.751595973968506,144.0
0.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0001291210064664,0.0001291210064664,0.0377825908362865,0.0021810552570968,0.4928577244281769,0.5253537893295288,3.4365665912628174,2.313969135284424,208.0
0.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,9.122266055783256e-05,9.122266055783256e-05,0.0291240010410547,0.020215842872858,0.3926493227481842,0.5632251501083374,8.358855247497559,2.557927131652832,245.0
0.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0001322892931057,0.0001322892931057,0.034833375364542,0.0101823667064309,0.5226364731788635,0.5611633062362671,5.915124893188477,1.948171615600586,248.0
0.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0001274528476642,0.0001274528476642,0.0433427765965461,0.1117102652788162,0.4696829617023468,0.5470130443572998,7.805521488189697,2.4778621196746826,266.0
0.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,8.186541526811197e-05,8.186541526811197e-05,0.0362799353897571,0.0025855745188891,0.4018407464027405,0.3730236291885376,3.7779526710510254,1.7687058448791504,253.0
0.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,7.159150845836848e-05,7.159150845836848e-05,0.0461404919624328,0.1198335066437721,0.3664435148239136,0.455769419670105,9.425823211669922,1.7567130327224731,265.0
0.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0002593629760667,0.0002593629760667,0.0257713738828897,0.0009760310058481,0.6931549310684204,0.8522999286651611,4.996174812316895,4.996174812316895,151.0
